alias,nodeId,p2p,ping (tcp),ping (udp)
null,0x90affa7a68edd189297809ee07ff7e2670db9b98,false,10s,435ms
null,0xa177ab577e9ac89121cd8770b516b696b5ee0410,false,82ms,72ms
null,0xa1ae3c7a013cd3d6299c00c095f0fc4a57ba6221,false,369ms,356ms
null,0xad35a7d5d3d5fd5228713b9db26851ad727d03ff,false,172ms,161ms
null,0xb523af9417d5e41a017d15da9179af820a515279,false,10s,66ms
null,0xbd2a87068e56487f4abb897208cb524d0706bde9,false,10s,61ms
null,0x491a70e4193aa0821806003140ee208fc7375a1f,false,76ms,70ms
null,0x11b84f5a13ddcf4e7f8abb1adcf91540732aea11,false,77ms,70ms
null,0xc4bc7aa95302f14bc61424959961aad82034962d,false,104ms,89ms
null,0x164eea3f17ae631b77ff6d72aa1530724c09804d,false,10s,69ms
null,0x6395bad08d436e8d968e76e771dc291097210091,false,10s,10s
null,0xa816624d0c4e19576909d65a93671d906c2c3b30,true,138ms,126ms
null,0x5afaaff39a2116974444cbcb7e67e9f2cdf8545c,false,184ms,171ms
null,0x9953489e4397f2ec5d040bf4ce80c40ff0f55e87,false,281ms,95ms
null,0xfdf7dc57b596d7da1e3f4294cffe080ffbda530c,false,74ms,63ms
null,0xac7b8d47107933fb3108b606f5299b742bdc2d6d,true,176ms,168ms
null,0xfe38aaf4c8ac21620e35f0f233add086caf00b0a,false,10s,63ms
null,0xb8ac6b2cabf544e6776d26258ac37fcbe5cc8b01,false,123ms,119ms
null,0xec0c2e129d6d897755fed3bf607b33388eb0b148,false,10s,61ms
null,0xf1e0baaae6688070ce28b2fdde5a8b3d5684f6e7,false,10s,78ms
null,0xc8bde55e96fd229dc244cbe2a008ef0498ee9e0c,false,10s,77ms
null,0xd5b741d7933630750581229f3a8c614dfe9221b8,false,10s,73ms
null,0xc8eb678ba29480dbf6d3cb58398e592024a29a7e,false,10s,77ms
null,0xb8274964dc9e13af32e881640388ae2d44d23b33,false,101ms,91ms
null,0xb23c46bcbfb18eb34af47a402962a86444fab5c2,false,61ms,61ms
null,0xc3d5172397292ee74135fea2b4d05449b4d6422d,false,10s,104ms
null,0x8dbc03b942426b4a763ca9d131478f3006284009,false,10s,104ms
null,0x5f11ee7f7b806bcc629442b6f086bd6a54d8a357,false,81ms,71ms
null,0x0114c52a6d156dd1d417d1921ba17cb93f1417f7,false,104ms,104ms
null,0x4f32cfa8739706c820f63271059faef20471e68a,false,360ms,352ms
null,0xd1ddd368cf7edf3ba6ba77471905e323f64748e1,false,76ms,69ms
null,0xa9834db6709d08daabe62b1bc0b58d7923d13b17,false,10s,103ms
null,0xed2cf242e26969f97f3c7f6ca76b81a8924aeccd,false,69ms,64ms
null,0x40acb684d607b677a365487c0658c80710699cf0,false,60ms,60ms
null,0x1b1d1b53c5ac01ae6fb44867aace3877522b7125,false,80ms,76ms
null,0x29c44289f6e36eeb377898ee6633aa9adb81793c,true,38ms,38ms
null,0x7d4db5d9979acc0559125d176836bbdb72805015,false,70ms,64ms
null,0x63b0099b48dfac1166d3ceb9b9f91d42813b9ed2,false,94ms,87ms
null,0x0fdf61168037f35941c7cc53113a78416a0fa5d4,false,104ms,95ms
null,0x031d9f959202e67243dfdaa0aa9fbfaef80d369f,false,107ms,103ms
null,0x084328410c7f65e6a974104657f4a58550d26c01,false,149ms,118ms
null,0x0c1f17564b01cbd02e9fd08217c3d930fd50a153,false,10s,10s
null,0x3600518a5ef33e5993c80606fc3080eaf6f4db6d,false,368ms,359ms
null,0x3a8b2d7d1a8994a60e928f963fb5daedcecca509,false,170ms,170ms
null,0x46a4737c4bc53ad17b654536b5b111cc12bf039e,false,79ms,73ms
null,0x678dccb16bb2818116b38186ff37fe4186d37437,false,98ms,96ms
null,0x69140ec08dda06c1131343faa6084a86ddd32215,false,120ms,109ms
null,0x653d07e76fb316886ea2789c2159c7c1138e723a,false,10s,43ms
null,0x69198c52b82b210c69374d8a5f5073bbab40dadf,false,10s,68ms
null,0x7f16aedea2d3acc9dd90930d424a23acd6b7784b,false,10s,53ms
null,0x8dc18c6a8a0e358444380a359462063ecb221a9e,false,70ms,66ms
null,0xb1a07e579cf632f5f11149ce08a2d9d078462624,false,10s,203ms
null,0xbe6d76e6bfd8bc0800b628db3cb236609ac1bd0b,false,166ms,162ms
null,0xbeae8cd590c28f14e1947e757f753a534b8b423b,false,71ms,71ms
null,0xc408e38e1f0c8f133943e53f7db6380d156eb76a,false,217ms,214ms
null,0xc0d1deb2d28135c34d2ee59b080ea04038e9d101,false,103ms,92ms
null,0xc5f9ad38ac751d1fd168fa62b57f091004618c3e,false,115ms,94ms
null,0xd3ac9ceb78ff375020f2fdf21ce753f25e465f53,false,10s,94ms
null,0xcfc6660840fbd02d412abd69f724381d352bdd8a,false,10s,49ms
null,0xe93384b1a42231e7e6ac841a25f969253b181cb0,false,77ms,68ms
null,0xdb2488e09700259ff2513fc3ea2bb64f03c5ce20,false,103ms,91ms
null,0xf6def06a40b5d2adf3e42141448786f0c2e07f37,false,10s,77ms
null,0xfc88946eac7433315a82a0d83cef54493aa69948,false,10s,78ms
null,0x1e48d0c032ca52e4ee99723c287daf702cd25bc8,false,218ms,208ms
null,0xc4de9f345f6b1d212a9ee3e046d50c2b2cc38d71,false,116ms,103ms
